__time,/output_std/data[0],/output_std/data[1],/output_std/layout/data_offset,/time/data
1706898892.748475,0.094120956,0.076216244,0.000000000,
1706898892.748498,,,,2.330000000
1706898892.758615,0.095558122,0.077157453,0.000000000,
1706898892.758649,,,,2.340000000
1706898892.768715,0.096886796,0.078113034,0.000000000,
1706898892.768772,,,,2.350000000
1706898892.778639,0.098106624,0.079081902,0.000000000,
1706898892.778674,,,,2.360000000
1706898892.788715,0.099217368,0.080062968,0.000000000,
1706898892.788774,,,,2.370000000
1706898892.798726,0.100218897,0.081055142,0.000000000,
1706898892.798789,,,,2.380000000
1706898892.808731,0.101111194,0.082057331,0.000000000,
1706898892.808798,,,,2.390000000
1706898892.819354,,,,2.400000000
1706898892.819443,0.101894349,0.083068443,0.000000000,
1706898892.828487,0.102568561,0.084087387,0.000000000,
1706898892.828528,,,,2.410000000
1706898892.838692,0.103134137,0.085113072,0.000000000,
1706898892.838751,,,,2.420000000
1706898892.848809,0.103591488,0.086144414,0.000000000,
1706898892.848879,,,,2.430000000
1706898892.858657,0.103941132,0.087180328,0.000000000,
1706898892.858707,,,,2.440000000
1706898892.868623,0.104183688,0.088219740,0.000000000,
1706898892.868666,,,,2.450000000
1706898892.878673,0.104319877,0.089261577,0.000000000,
1706898892.878724,,,,2.460000000
1706898892.888675,0.104350521,0.090304775,0.000000000,
1706898892.888733,,,,2.470000000
1706898892.899451,0.104276538,0.091348281,0.000000000,
1706898892.899509,,,,2.480000000
1706898892.908612,0.104098944,0.092391046,0.000000000,
1706898892.908666,,,,2.490000000
1706898892.918672,0.103818850,0.093432035,0.000000000,
1706898892.918712,,,,2.500000000
1706898892.928732,0.103437458,0.094470224,0.000000000,
1706898892.928775,,,,2.510000000
1706898892.938745,0.102956061,0.095504599,0.000000000,
1706898892.938817,,,,2.520000000
1706898892.948934,0.102376041,0.096534159,0.000000000,
1706898892.949001,,,,2.530000000
1706898892.958661,0.101698865,0.097557920,0.000000000,
1706898892.958701,,,,2.540000000
1706898892.968618,0.100926084,0.098574908,0.000000000,
1706898892.968657,,,,2.550000000
1706898892.978631,0.100059332,0.099584169,0.000000000,
1706898892.978675,,,,2.560000000
1706898892.988758,0.099100322,0.100584762,0.000000000,
1706898892.988825,,,,2.570000000
1706898892.998668,0.098050843,0.101575766,0.000000000,
1706898892.998718,,,,2.580000000
1706898893.008614,0.096912758,0.102556274,0.000000000,
1706898893.008657,,,,2.590000000
1706898893.018618,0.095688003,0.103525402,0.000000000,
